unit_id,delay,duration,abs_max_value
0,0.0,0.0,0.08423495292663574
0,0.0,0.1,0.08423495292663574
0,0.0,0.2,0.09150677919387817
0,0.03,0.0,0.07845751196146011
0,0.03,0.1,0.07845751196146011
0,0.03,0.2,0.08938268572092056
0,0.06,0.0,0.09225469082593918
0,0.06,0.1,0.09225469082593918
0,0.06,0.2,0.09220939874649048
0,0.09,0.0,0.11694052815437317
0,0.09,0.1,0.11694052815437317
0,0.09,0.2,0.10476114600896835
0,0.12,0.0,0.10389524698257446
0,0.12,0.1,0.10389524698257446
0,0.12,0.2,0.09762901812791824
0,0.15,0.0,0.0794735848903656
0,0.15,0.1,0.0794735848903656
0,0.15,0.2,0.07549546658992767
1,0.0,0.0,0.09241816401481628
1,0.0,0.1,0.09241816401481628
1,0.0,0.2,0.09991931915283203
1,0.03,0.0,0.08786866068840027
1,0.03,0.1,0.08786866068840027
1,0.03,0.2,0.08327215909957886
1,0.06,0.0,0.10008147358894348
1,0.06,0.1,0.10008147358894348
1,0.06,0.2,0.09404204040765762
1,0.09,0.0,0.10774929821491241
1,0.09,0.1,0.10774929821491241
1,0.09,0.2,0.1025005429983139
1,0.12,0.0,0.0919596403837204
1,0.12,0.1,0.0919596403837204
1,0.12,0.2,0.09305625408887863
1,0.15,0.0,0.08577391505241394
1,0.15,0.1,0.08577391505241394
1,0.15,0.2,0.10343138873577118
10,0.0,0.0,0.09718417376279831
10,0.0,0.1,0.09718417376279831
10,0.0,0.2,0.11881318688392639
10,0.03,0.0,0.08309466391801834
10,0.03,0.1,0.08309466391801834
10,0.03,0.2,0.10393087565898895
10,0.06,0.0,0.09822282940149307
10,0.06,0.1,0.09822282940149307
10,0.06,0.2,0.10777892172336578
10,0.09,0.0,0.09779439866542816
10,0.09,0.1,0.09779439866542816
10,0.09,0.2,0.11140111833810806
10,0.12,0.0,0.10845376551151276
10,0.12,0.1,0.10845376551151276
10,0.12,0.2,0.10432428866624832
10,0.15,0.0,0.11512581259012222
10,0.15,0.1,0.11512581259012222
10,0.15,0.2,0.10146044194698334
100,0.0,0.0,0.08322795480489731
100,0.0,0.1,0.08322795480489731
100,0.0,0.2,0.09120962023735046
100,0.03,0.0,0.09183443337678909
100,0.03,0.1,0.09183443337678909
100,0.03,0.2,0.09953466057777405
100,0.06,0.0,0.08886409550905228
100,0.06,0.1,0.08886409550905228
100,0.06,0.2,0.12693461775779724
100,0.09,0.0,0.10007338225841522
100,0.09,0.1,0.10007338225841522
100,0.09,0.2,0.1387273222208023
100,0.12,0.0,0.11444414407014847
100,0.12,0.1,0.11444414407014847
100,0.12,0.2,0.13325420022010803
100,0.15,0.0,0.1378345787525177
100,0.15,0.1,0.1378345787525177
100,0.15,0.2,0.13970759510993958
101,0.0,0.0,0.11080453544855118
101,0.0,0.1,0.11080453544855118
101,0.0,0.2,0.10208238661289215
101,0.03,0.0,0.09595196694135666
101,0.03,0.1,0.09595196694135666
101,0.03,0.2,0.09268536418676376
101,0.06,0.0,0.09298005700111389
